year,No. of Enrolments of Formal Education,Pre-education,Elementary School,Middle School,High School,Higher Education
1991,175330,19070,105020,34650,13550,3040
1992,176810,20720,104130,35180,13650,3130
1993,182690,21900,106560,35990,14480,3760
1994,184450,22190,108190,36810,12930,4330
1995,192840,22620,110100,39450,16100,4570
1996,199110,22080,112730,41800,17800,4700
1997,201690,20580,114350,42890,19050,4820
1998,201210,19440,112870,44080,19780,5040
1999,200010,18640,108550,46560,20320,5940
2000,198140,17820,103350,49690,20050,7230
2001,196520,16020,99370,51610,20210,9310
2002,197890,15950,95250,52400,22830,11460
2003,196900,15600,91000,52090,25230,12980
2004,196440,16170,87250,50580,28240,14200
2005,194980,16760,83580,47810,30700,16130
2006,196170,17310,81920,45570,33210,18160
2007,195210,17870,80370,43640,34090,19240
2008,194240,18730,78190,42270,34630,20420
2009,193050,20010,75840,40970,34950,21280
2010,193260,22300,74480,39550,35040,21890
2011,194840,25540,74030,37790,34950,22530
2012,192130,27360,71960,35350,34110,23350
2013,187130,28760,69130,32790,32270,24180
2014,187330,29770,69460,32220,31000,24880
2015,188450,31180,70860,31520,29650,25240
2016,189890,32110,72110,31500,28870,25300