region_name,region_nameEn,region_id,Provincial Breakdown_Student to Teacher Ratio by Province,Elementary School_Student/Teacher Ratio,Middle School_Student/Teacher Ratio,High School_Student/Teacher Ratio,Vocational School_Student/Teacher Ratio,Higher Education_Student/Teacher Ratio,Provincial Breakdown_Education Funding per Student by Province (RMB),Number of Students per Million People by Province,Pre-education_No of Students Per Million Population,Elementary School_No of Students Per Million Population,Middle School_No of Students Per Million Population,High School_No of Students Per Million Population,Higher Education_No of Students Per Million Population,Percentage of Population Aged 0-14,Percentage of Population Aged 65 and over,Percentage of Population Aged 15-64
北京,Beijing,6,10.2630806,14.05,8.02,7.75,12.84,14.97,56088.59701,135060,19210,40000,12360,13210,50280,10.8813148,11.7416722,77.377013
天津,Tianjin,24,13.66930513,15.19,9.63,10,15.65,17.69,33568.52769,133700,17240,40800,16570,18510,40580,10.8922275,11.3598038,77.7479687
河北,Hebei,20,15.90653593,17.66,13.59,13.61,14.67,16.9,10952.26105,196400,31530,83580,32810,26570,21910,18.4605578,10.9083665,70.6310757
山西,Shanxi,15,12.63498657,13.24,9.92,11.9,13.27,18.13,16165.61789,175940,27050,61980,29820,32700,24390,15.3574895,8.6962148,75.9462957
内蒙古,Inner Mongolia,30,13.12388546,13.47,10.73,12.89,14.72,17.37,23200.25798,147930,24190,53290,24390,26690,19370,12.7980696,9.4388721,77.7630583
辽宁,Liaoning,22,13.02648758,14.16,9.89,12.35,15.51,16.82,17851.7365,139960,20830,45380,22330,22970,28450,10.6359769,13.2240646,76.1399585
吉林,Jilin,29,11.76128329,11.53,9.34,13.81,8.93,17.05,19576.18517,135580,16830,45920,21950,20400,30480,12.6519939,10.8520375,76.4959686
黑龙江,Heilongjiang,31,12.23951062,12.05,9.99,12.99,15.32,15.2,18259.46504,121520,13850,37760,23710,21930,24270,10.0520801,11.9376294,78.0102905
上海,Shanghai,27,12.39648048,14.79,10.85,8.93,13.61,16.11,50783.28182,117320,23040,32700,17110,11200,33270,9.6740638,12.9631464,77.3627898
江苏,Jiangsu,26,14.73484286,18.06,11.04,10.01,15.66,15.34,21300.73781,174710,32250,65470,24440,23180,29370,13.7302606,13.5048807,72.7648587
浙江,Zhejiang,28,15.12250691,17.75,12.34,11.26,15.55,15.26,23894.34579,175310,34630,64100,27140,25890,23550,12.9465525,11.6354551,75.4179924
安徽,Anhui,8,16.62720906,17.9,12.79,14.31,27.31,18.44,12449.57562,187060,31360,70050,31610,31450,22590,17.5349623,11.4664976,70.9985401
福建,Fujian,7,15.6857493,18,11.69,12.59,22.74,15.79,16886.66319,200920,40790,77800,30080,27870,24380,18.2915563,9.9494981,71.7589456
江西,Jiangxi,25,18.11183446,19.29,15.08,17.2,26.8,17.29,11584.13967,225130,34830,92590,39480,31250,26980,21.2230402,9.5966404,69.1803194
山东,Shandong,23,15.06181866,16.91,11.79,12.84,16.79,17.98,14161.50877,184810,27950,70210,32080,28370,26200,16.9414358,11.6517301,71.4068341
河南,Henan,21,17.54786543,19.08,14.52,16.93,20.2,18.02,9298.55558,246930,43110,101860,43860,34580,23520,20.7873721,10.0761168,69.1365111
湖北,Hubei,16,14.91330463,17.13,10.95,12.7,18.18,16.84,15225.3304,164260,29040,59150,24180,22390,29500,15.4807225,11.5745991,72.9446784
湖南,Hunan,17,17.40114121,19.78,13.29,15.36,25.8,17.75,11879.508,190700,33160,73980,33180,27870,22510,18.201012,11.8897226,69.9092654
广东,Guangdong,9,16.4476035,18.6,12.61,13.02,23.8,17.82,17413.47576,212120,38870,83440,32060,33440,24310,16.7381415,7.6932264,75.5686321
广西,Guangxi,3,18.95201714,19.41,16.1,17.22,33.69,17.78,11304.15656,238070,43710,94110,41440,36020,22790,21.3535905,9.6934386,68.9529709
海南,Hainan,12,15.62173665,16.18,12.51,13.28,25.87,18.62,17680.57872,217090,38150,87110,35540,33710,22580,19.7453884,8.2488958,72.0057158
重庆,Chongqing,5,16.05977257,17.05,12.82,15.21,21.04,17.16,16847.70848,197680,30910,69550,32020,34610,30590,15.4499218,13.9671362,70.582942
四川,Sichuan,18,16.02797021,17.48,12.34,15.04,23.59,17.84,13907.10737,181820,31610,66980,29840,30250,23140,15.9609543,13.6962437,70.342802
贵州,Guizhou,4,17.28359348,17.93,14.88,16.28,31.1,18.02,12265.23082,260540,40970,100110,53580,45830,20050,22.2731071,9.6239345,68.1029584
云南,Yunnan,19,16.22679332,16.59,14.81,14.96,22.67,18.8,13728.80813,195190,27730,79420,39500,29650,18890,19.5286615,8.3754764,72.0958621
西藏,Tibet,10,13.36729604,14.37,11.96,11.41,14.02,15.35,35814.67902,201290,29870,93490,37120,23160,17650,24.0588024,4.9838652,70.9573324
陕西,Shaanxi,14,14.09797666,15.48,10.31,13.63,17.96,17.35,17224.57594,195610,37740,63750,27710,31010,35400,14.8372587,10.7421753,74.420566
甘肃,Gansu,1,12.77845121,12.91,10.64,13.38,13.71,17.28,15411.20044,192910,34310,70060,33700,32950,21890,16.9626594,9.9544627,73.0828779
青海,Qinghai,2,15.83616428,17.34,12.86,13.48,30.14,15.26,22396.90516,196770,33980,77870,35360,36370,13190,19.7112492,7.2187688,73.069982
宁夏,Ningxia,13,16.00335979,17.09,13.92,14.29,29.24,17.07,16227.23072,216390,30870,87260,41120,34890,22250,19.1493117,7.7832686,73.0674197
新疆,Sinkiang,11,13.71229734,14.75,10.54,13.1,24.29,17.4,17168.80287,221830,38960,91500,37920,35650,17800,22.5192165,7.2303496,70.2504339